City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Souillac,MU,71.6,few clouds,-20.52,57.52,Bils' Villa
320,President Roxas,PH,75.2,broken clouds,7.15,125.06,Tiad Residence
321,Majalaya,ID,76.89,broken clouds,-7.34,106.61,Bojong Sero
322,Farafangana,MG,70.07,light rain,-22.82,47.83,Austral Hotel
324,Dingle,PH,76.96,overcast clouds,11.0,122.67,Camp Pasica
325,Sorong,ID,77.9,overcast clouds,-0.88,131.25,The Waigo Hotel
326,Hermiston,US,71.01,clear sky,45.84,-119.29,Oxford Suites Hermiston
330,Balaipungut,ID,74.25,overcast clouds,1.05,101.28,Swee Ann Homestay
335,Mawlaik,MM,77.43,light rain,23.63,94.42,AKZ Guest House
338,Luena,AO,73.76,broken clouds,-11.78,19.92,Hotel Kandamba
340,Black River,JM,87.8,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
341,Waingapu,ID,77.49,overcast clouds,-9.66,120.26,Pondok Wisata Elim
345,Baracoa,CU,87.06,scattered clouds,20.35,-74.5,Hostal Rio Miel
346,Les Cayes,HT,85.89,scattered clouds,18.2,-73.75,Villa Orphee
347,Lafiagi,NG,82.92,scattered clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
348,Marrakesh,MA,78.8,scattered clouds,31.63,-8.01,Les Jardins de La Koutoubia
349,Jega,NG,89.42,scattered clouds,12.22,4.38,Jega Guest Inn
350,Saint-Joseph,RE,73.4,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
351,Makasar,ID,73.4,few clouds,-5.14,119.42,Aryaduta Makassar
352,Mabua,PH,81.28,light rain,9.81,125.44,Almont Beach Resort
355,Lianzhou,CN,76.14,light rain,24.78,112.38,Qingcheng Tourism Industry
359,Berberati,CF,72.81,light rain,4.26,15.79,Berbérati
360,Bengkulu,ID,76.71,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
362,Marawi,PH,77.0,light rain,8.0,124.29,Derogongan Residence
363,Dahod,IN,79.74,clear sky,22.83,74.27,Hotel Laxmi Inn
366,Bhag,PK,87.84,clear sky,29.04,67.82,Bukhari hotl
370,Namatanai,PG,79.95,light rain,-3.67,152.43,Namatanai Hotel
371,Marsh Harbour,BS,83.79,overcast clouds,26.54,-77.06,Abaco Beach Resort
372,Marsa Matruh,EG,82.4,clear sky,31.35,27.25,Beau Site
373,Lingao,CN,79.09,scattered clouds,19.91,109.69,Lingao Ditai Inn
376,Salalah,OM,78.8,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
377,Praya,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
378,Anaimalai,IN,77.0,mist,10.58,76.93,Mullai Farms
382,Guerrero Negro,MX,84.76,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
383,Cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
384,El Tocuyo,VE,71.6,light rain,9.79,-69.79,HOTEL BOUTIQUE SANTO DOMINGO
385,Port Hedland,AU,75.2,clear sky,-20.32,118.57,The Esplanade Hotel
390,Bubaque,GW,81.99,scattered clouds,11.28,-15.83,Casa Dora - Mango Lodge
391,Mier,MX,86.0,scattered clouds,26.43,-99.15,Hotel Don Jacinto
395,Songea,TZ,74.57,broken clouds,-10.68,35.65,mtakuja
397,Ambilobe,MG,74.23,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
401,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
402,Kathu,TH,81.0,light rain,7.92,98.33,Novotel Phuket Resort
405,Broken Hill,AU,77.0,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
406,Camacha,PT,71.6,shower rain,33.08,-16.33,Hotel Porto Santo & Spa
410,Conde,BR,86.0,broken clouds,-7.26,-34.91,Pousada Beija Flor
413,Bougouni,ML,80.04,overcast clouds,11.42,-7.48,Non Stop
415,Kawalu,ID,72.14,light rain,-7.38,108.21,KOSAN UNGU UNSIK
422,Voi,KE,75.52,broken clouds,-3.39,38.56,Voi Wildlife Lodge
423,Pauini,BR,84.88,overcast clouds,-7.71,-66.98,Casa do Kiwliks
426,Kimbe,PG,74.41,clear sky,-5.55,150.14,Kimbe Bay Hotel
431,Takoradi,GH,78.69,overcast clouds,4.88,-1.76,Raybow International Hotel
435,Arawa,PG,75.33,clear sky,-6.21,155.54,Coastline Guest House
436,Villamontes,BO,87.78,scattered clouds,-21.25,-63.5,Hotel Raldes
444,Nago,JP,75.2,broken clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
445,Trairi,BR,86.18,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
447,Tual,ID,80.65,overcast clouds,-5.67,132.75,Grand Vilia Hotel
449,Kirakira,SB,77.18,few clouds,-10.45,161.92,SanBiz Lodge
450,Amahai,ID,77.38,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
453,Sompeta,IN,81.23,light rain,18.93,84.6,V.B.R A/C Lodge And Function Hall
454,Liwale,TZ,80.8,clear sky,-9.77,37.93,Samoma Lodge
457,Prado,BR,81.41,clear sky,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
461,Alugan,PH,78.66,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
467,Muroto,JP,73.38,few clouds,33.28,134.15,Oota Ryokan
469,Road Town,VG,84.2,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
475,Lixourion,GR,77.0,few clouds,38.2,20.43,Summery Hotel
476,Drexel Heights,US,89.6,clear sky,32.14,-111.03,Rincon Country West RV Resort
479,Rembang,ID,80.78,light rain,-6.71,111.35,Kencana Hotel Rembang
484,Chicama,PE,75.11,broken clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
485,Palauig,PH,81.5,broken clouds,15.44,119.9,Myhousebythesea
489,Fort Myers Beach,US,82.99,clear sky,26.45,-81.95,Lani Kai Island Resort
490,Samarai,PG,78.24,moderate rain,-10.62,150.67,Nuli Sapi
498,Fukue,JP,73.72,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
501,Pedernales,DO,87.8,scattered clouds,18.04,-71.74,Hotel Costa Marina
508,Smederevska Palanka,RS,75.2,broken clouds,44.37,20.96,Božić 2018
511,Iquitos,PE,87.8,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
514,Kongolo,CD,80.44,clear sky,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
515,Petauke,ZM,83.03,few clouds,-14.24,31.33,Newline Lodge
521,Malumfashi,NG,78.46,broken clouds,11.79,7.62,INFINITY CYBER CAFE MALUMFASHI
527,Nishihara,JP,78.8,broken clouds,26.18,127.76,Minshuku Agaihama
