City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Kolokani,ML,13.57,-8.03,84.47,59,79,7.45,broken clouds
122,Siyabuswa,ZA,-25.11,29.04,75.2,54,58,9.82,light rain
123,San Quintin,MX,30.48,-115.95,83.48,35,0,4.03,clear sky
124,Norman Wells,CA,65.28,-126.83,41.0,93,75,3.36,broken clouds
125,Luderitz,NA,-26.65,15.16,58.95,74,0,15.05,clear sky
126,Goderich,CA,43.75,-81.72,54.0,82,97,9.73,light rain
127,Vostok,RU,46.49,135.88,37.51,99,56,5.77,broken clouds
128,Belyy Yar,RU,53.6,91.39,28.4,92,7,6.71,clear sky
129,Hasaki,JP,35.73,140.83,64.4,100,75,1.12,broken clouds
130,Katsuura,JP,35.13,140.3,71.6,83,75,4.23,broken clouds
131,Quatre Cocos,MU,-20.21,57.76,71.6,83,20,3.36,few clouds
132,Ambulu,ID,-8.35,113.61,75.94,87,47,4.23,scattered clouds
133,Leh,IN,34.17,77.58,45.36,39,0,4.29,clear sky
134,The Pas,CA,53.83,-101.25,39.2,93,90,5.82,overcast clouds
135,Suluktu,KG,39.93,69.57,60.8,38,20,8.95,few clouds
136,Ostrovnoy,RU,68.05,39.51,38.5,77,57,11.65,broken clouds
137,Rio Gallegos,AR,-51.62,-69.22,46.4,45,75,14.99,broken clouds
138,Nhulunbuy,AU,-12.23,136.77,77.0,78,90,5.82,overcast clouds
139,Vardo,NO,70.37,31.11,49.12,81,80,21.74,broken clouds
140,Saint-Philippe,RE,-21.36,55.77,73.4,83,75,13.87,broken clouds
141,Pangody,RU,65.85,74.49,31.51,94,35,17.96,scattered clouds
142,Lucapa,AO,-8.42,20.74,76.37,56,67,2.84,broken clouds
143,Blackwater,AU,-23.58,148.88,61.93,87,3,7.58,clear sky
144,Atambua,ID,-9.11,124.89,71.17,83,38,4.23,scattered clouds
145,Berlevag,NO,70.86,29.09,48.43,80,12,21.83,few clouds
146,Mmabatho,ZA,-25.85,25.63,75.2,17,11,4.7,few clouds
147,Bambous Virieux,MU,-20.34,57.76,71.6,83,20,3.36,few clouds
148,Oga,IT,46.46,10.35,51.01,75,75,5.82,broken clouds
149,Klaksvik,FO,62.23,-6.59,50.0,93,100,14.99,light intensity drizzle
150,Iqaluit,CA,63.75,-68.51,33.8,64,90,6.93,overcast clouds
151,Conceicao Do Araguaia,BR,-8.26,-49.26,106.9,14,45,7.58,scattered clouds
152,Loveland,US,40.4,-105.08,62.01,36,1,8.05,clear sky
153,Manokwari,ID,-0.87,134.08,80.08,75,100,3.89,moderate rain
154,Cannes,FR,43.55,7.02,62.6,67,26,5.82,scattered clouds
155,Ilulissat,GL,69.22,-51.1,35.6,69,40,6.93,scattered clouds
156,Svetlopolyansk,RU,59.42,52.36,36.7,82,60,4.88,broken clouds
157,Provideniya,RU,64.38,-173.3,36.01,84,85,12.59,overcast clouds
158,Charters Towers,AU,-20.1,146.27,62.78,86,4,9.93,clear sky
159,Gniezno,PL,52.53,17.58,71.01,69,76,1.99,broken clouds
160,Erenhot,CN,43.65,111.98,35.13,72,0,17.0,clear sky
161,Mackay,AU,-21.15,149.2,71.6,68,90,20.8,overcast clouds
162,Yuci,CN,37.68,112.73,48.2,31,8,6.71,clear sky
163,Acapulco,MX,16.86,-99.89,86.0,66,40,3.36,scattered clouds
164,Inta,RU,66.03,60.17,32.67,93,16,9.33,few clouds
165,Santiago De Cuba,CU,20.02,-75.82,87.8,66,40,12.75,scattered clouds
166,Margate,GB,51.38,1.39,55.99,81,100,1.99,overcast clouds
167,Slave Lake,CA,55.28,-114.77,41.0,86,1,5.82,clear sky
168,Banda Aceh,ID,5.56,95.32,79.65,75,100,6.51,moderate rain
169,Lorengau,PG,-2.02,147.27,81.68,77,84,8.16,broken clouds
170,Mayor Pablo Lagerenza,PY,-19.93,-60.77,96.06,27,25,11.32,scattered clouds
171,Elat,IL,29.56,34.95,91.4,43,0,18.34,clear sky
172,Bambanglipuro,ID,-7.95,110.28,77.18,87,72,7.25,light rain
173,Kovur,IN,14.48,79.98,85.48,63,97,4.41,overcast clouds
174,Vila Franca Do Campo,PT,37.72,-25.43,71.6,78,75,13.87,broken clouds
175,Tura,IN,25.52,90.22,75.51,91,1,2.24,moderate rain
176,Skhisma,GR,35.27,25.72,77.0,78,0,2.24,clear sky
177,Antalaha,MG,-14.9,50.28,72.34,83,1,7.67,clear sky
178,Divnomorskoye,RU,44.5,38.14,65.86,69,27,7.05,scattered clouds
179,Pasighat,IN,28.07,95.33,78.96,74,73,2.1,broken clouds
180,Itarema,BR,-2.92,-39.92,86.23,54,38,20.92,scattered clouds
181,Lompoc,US,34.64,-120.46,68.0,52,1,1.52,clear sky
